,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号,m_カドミウム,n_カドミウム,C_カドミウム_最大値,カドミウム_最大値,C_カドミウム_平均値,カドミウム_平均値,m_全シアン,n_全シアン,C_全シアン_最大値,全シアン_最大値,C_全シアン_平均値,全シアン_平均値,m_鉛,n_鉛,C_鉛_最大値,鉛_最大値,C_鉛_平均値,鉛_平均値,m_六価クロム,n_六価クロム,C_六価クロム_最大値,六価クロム_最大値,C_六価クロム_平均値,六価クロム_平均値,m_砒素,n_砒素,C_砒素_最大値,砒素_最大値,C_砒素_平均値,砒素_平均値,m_総水銀,n_総水銀,C_総水銀_最大値,総水銀_最大値,C_総水銀_平均値,総水銀_平均値,総水銀_定量限界値未満の検体数,m_アルキル水銀,n_アルキル水銀,C_アルキル水銀_最大値,アルキル水銀_最大値,C_アルキル水銀_平均値,アルキル水銀_平均値,m_PCB,n_PCB,C_PCB_最大値,PCB_最大値,C_PCB_平均値,PCB_平均値,m_有機リン,n_有機リン,C_有機リン_最大値,有機リン_最大値,C_有機リン_平均値,有機リン_平均値,m_ジクロロメタン,n_ジクロロメタン,C_ジクロロメタン_最大値,ジクロロメタン_最大値,C_ジクロロメタン_平均値,ジクロロメタン_平均値,m_四塩化炭素,n_四塩化炭素,C_四塩化炭素_最大値,四塩化炭素_最大値,C_四塩化炭素_平均値,四塩化炭素_平均値,m_1、2-ジクロロエタン,n_1、2-ジクロロエタン,C_1、2-ジクロロエタン_最大値,1、2-ジクロロエタン_最大値,C_1、2-ジクロロエタン_平均値,1、2-ジクロロエタン_平均値,m_1、1-ジクロロエチレン,n_1、1-ジクロロエチレン,C_1、1-ジクロロエチレン_最大値,1、1-ジクロロエチレン_最大値,C_1、1-ジクロロエチレン_平均値,1、1-ジクロロエチレン_平均値,m_シス-1、2-ジクロロエチレン,n_シス-1、2-ジクロロエチレン,C_シス-1、2-ジクロロエチレン_最大値,シス-1、2-ジクロロエチレン_最大値,C_シス-1、2-ジクロロエチレン_平均値,シス-1、2-ジクロロエチレン_平均値,m_1、1、1-トリクロロエタン,n_1、1、1-トリクロロエタン,C_1、1、1-トリクロロエタン_最大値,1、1、1-トリクロロエタン_最大値,C_1、1、1-トリクロロエタン_平均値,1、1、1-トリクロロエタン_平均値,m_1、1、2-トリクロロエタン,n_1、1、2-トリクロロエタン,C_1、1、2-トリクロロエタン_最大値,1、1、2-トリクロロエタン_最大値,C_1、1、2-トリクロロエタン_平均値,1、1、2-トリクロロエタン_平均値,m_トリクロロエチレン,n_トリクロロエチレン,C_トリクロロエチレン_最大値,トリクロロエチレン_最大値,C_トリクロロエチレン_平均値,トリクロロエチレン_平均値,m_テトラクロロエチレン,n_テトラクロロエチレン,C_テトラクロロエチレン_最大値,テトラクロロエチレン_最大値,C_テトラクロロエチレン_平均値,テトラクロロエチレン_平均値,m_1、3-ジクロロプロペン,n_1、3-ジクロロプロペン,C_1、3-ジクロロプロペン_最大値,1、3-ジクロロプロペン_最大値,C_1、3-ジクロロプロペン_平均値,1、3-ジクロロプロペン_平均値,m_チウラム,n_チウラム,C_チウラム_最大値,チウラム_最大値,C_チウラム_平均値,チウラム_平均値,m_シマジン,n_シマジン,C_シマジン_最大値,シマジン_最大値,C_シマジン_平均値,シマジン_平均値,m_チオベンカルブ,n_チオベンカルブ,C_チオベンカルブ_最大値,チオベンカルブ_最大値,C_チオベンカルブ_平均値,チオベンカルブ_平均値,m_ベンゼン,n_ベンゼン,C_ベンゼン_最大値,ベンゼン_最大値,C_ベンゼン_平均値,ベンゼン_平均値,m_セレン,n_セレン,C_セレン_最大値,セレン_最大値,C_セレン_平均値,セレン_平均値,m_硝酸性窒素及び亜硝酸性窒素,ｎ_硝酸性窒素及び亜硝酸性窒素,C_硝酸性窒素及び亜硝酸性窒素_最大値,硝酸性窒素及び亜硝酸性窒素_最大値,C_硝酸性窒素及び亜硝酸性窒素_平均値,硝酸性窒素及び亜硝酸性窒素_平均値,m_亜硝酸性窒素,n_亜硝酸性窒素,C_亜硝酸性窒素_最大値,亜硝酸性窒素_最大値,C_亜硝酸性窒素_平均値,亜硝酸性窒素_平均値,m_ふっ素,n_ふっ素,C_ふっ素_最大値,ふっ素_最大値,C_ふっ素_平均値,ふっ素_平均値,m_ほう素,n_ほう素,C_ほう素_最大値,ほう素_最大値,C_ほう素_平均値,ほう素_平均値
0,1981,110010,1,1,1,0.0,#,6.6,#,7.5,0.0,6.0,#,8.5,#,9.8,0.0,6.0,#,9.2,#,0.5,#,0.8,0.0,6.0,#,0.5,#,0.8,0.0,6.0,#,0.6,#,0.5,#,0.6,,,,,,,,,,,,,,,,,,,<,1.0,#,19.0,0.0,6.0,#,7.0,#,49.0,#,9200.0,5.0,6.0,#,1800.0,,,,,,,,,0100101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1981,110020,1,2,1,0.0,#,7.0,#,7.9,0.0,24.0,#,9.6,#,14.0,0.0,24.0,#,12.0,<,0.5,#,1.8,0.0,24.0,<,0.5,#,1.7,0.0,12.0,#,1.0,#,1.0,#,1.3,,,,,,,,,,,,,,,,,,,<,1.0,#,140.0,6.0,24.0,#,23.0,#,90.0,#,11000.0,8.0,12.0,#,4800.0,,,,,,,,,0100201,0.0,2.0,<,0.005,<,0.005,0.0,2.0,N,0.1,N,0.1,0.0,2.0,<,0.05,<,0.05,0.0,2.0,<,0.02,<,0.02,0.0,2.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,6.0,0.0,2.0,N,0.0005,N,0.0005,0.0,4.0,N,0.0005,N,0.0005,0.0,2.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1981,110030,1,2,51,0.0,#,6.9,#,8.6,1.0,12.0,#,9.3,#,15.0,0.0,12.0,#,12.0,<,0.5,#,1.1,0.0,12.0,<,0.5,#,1.1,0.0,12.0,#,0.7,#,0.7,#,0.8,,,,,,,,,,,,,,,,,,,#,2.0,#,43.0,1.0,12.0,#,10.0,#,23.0,#,16000.0,7.0,12.0,#,2600.0,,,,,,,,,0100251,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,3.0,<,0.05,<,0.05,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,3.0,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1981,110060,1,4,1,0.0,#,7.0,#,7.5,0.0,48.0,#,7.8,#,13.0,0.0,48.0,#,10.0,#,0.5,#,2.7,0.0,48.0,#,0.6,#,2.3,0.0,12.0,#,1.3,#,1.3,#,1.4,,,,,,,,,,,,,,,,,,,#,8.0,#,250.0,37.0,48.0,#,67.0,#,1300.0,#,27000.0,26.0,48.0,#,9100.0,,,,,,,,,0100401,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,12.0,<,0.05,<,0.05,0.0,12.0,<,0.02,<,0.02,0.0,12.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,3.0,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1981,113460,1,4,2,0.0,#,7.1,#,7.6,0.0,48.0,#,8.2,#,14.0,0.0,48.0,#,11.0,#,0.6,#,2.9,0.0,48.0,#,0.8,#,2.5,0.0,12.0,#,1.5,#,1.5,#,1.6,,,,,,,,,,,,,,,,,,,#,5.0,#,93.0,23.0,48.0,#,32.0,#,790.0,#,70000.0,34.0,48.0,#,14000.0,,,,,,,,,0100402,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,12.0,<,0.05,<,0.05,0.0,3.0,<,0.02,<,0.02,0.0,12.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,3.0,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1981,110070,1,4,51,0.0,#,7.0,#,7.5,0.0,12.0,#,7.8,#,13.0,0.0,12.0,#,10.0,#,0.8,#,2.6,0.0,12.0,#,0.8,#,2.6,0.0,12.0,#,1.4,#,1.4,#,1.6,,,,,,,,,,,,,,,,,,,#,4.0,#,160.0,7.0,12.0,#,45.0,#,3300.0,#,33000.0,9.0,12.0,#,15000.0,,,,,,,,,0100451,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,3.0,<,0.05,<,0.05,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,3.0,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1981,110080,1,4,52,0.0,#,6.8,#,7.4,0.0,6.0,#,7.0,#,11.0,0.0,6.0,#,8.5,#,1.0,#,1.6,0.0,6.0,#,1.0,#,1.6,0.0,6.0,#,1.2,#,1.2,#,1.2,,,,,,,,,,,,,,,,,,,#,46.0,#,330.0,6.0,6.0,#,140.0,#,1300.0,#,79000.0,4.0,6.0,#,21000.0,,,,,,,,,0100452,0.0,2.0,<,0.005,<,0.005,0.0,2.0,N,0.1,N,0.1,0.0,2.0,<,0.05,<,0.05,0.0,2.0,<,0.02,<,0.02,0.0,2.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,6.0,,,,,,,0.0,1.0,N,0.0005,N,0.0005,0.0,2.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1981,110090,1,4,53,0.0,#,7.2,#,7.6,0.0,12.0,#,8.6,#,14.0,0.0,12.0,#,11.0,#,0.7,#,1.9,0.0,12.0,#,0.7,#,1.9,0.0,12.0,#,1.3,#,1.3,#,1.5,,,,,,,,,,,,,,,,,,,#,8.0,#,75.0,7.0,12.0,#,34.0,#,700.0,#,49000.0,6.0,12.0,#,15000.0,,,,,,,,,0100453,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,3.0,<,0.05,<,0.05,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,3.0,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1981,110100,1,4,54,0.0,#,6.9,#,7.4,0.0,6.0,#,7.6,#,12.0,0.0,6.0,#,9.4,#,1.3,#,2.2,0.0,6.0,#,1.3,#,2.2,0.0,6.0,#,1.7,#,1.6,#,1.7,,,,,,,,,,,,,,,,,,,#,10.0,#,140.0,3.0,6.0,#,46.0,#,780.0,#,22000.0,4.0,6.0,#,9900.0,,,,,,,,,0100454,0.0,2.0,<,0.005,<,0.005,,,,,,,0.0,2.0,<,0.05,<,0.05,,,,,,,0.0,2.0,<,0.02,<,0.02,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1981,110110,1,4,55,0.0,#,7.2,#,7.5,0.0,12.0,#,8.2,#,13.0,0.0,12.0,#,11.0,<,0.5,#,2.8,0.0,12.0,<,0.5,#,2.8,0.0,12.0,#,1.3,#,1.2,#,1.3,,,,,,,,,,,,,,,,,,,#,8.0,#,87.0,9.0,12.0,#,45.0,#,790.0,#,24000.0,7.0,12.0,#,9800.0,,,,,,,,,0100455,0.0,3.0,<,0.005,<,0.005,0.0,3.0,N,0.1,N,0.1,0.0,3.0,<,0.05,<,0.05,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.02,<,0.02,0.0,3.0,<,0.0005,<,0.0005,3.0,0.0,3.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,3.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
